season,player,penalties_taken,penalties_scored
2005/6,Frank Lampard,4,4
2005/6,Thierry Henry,3,3
2005/6,Laurén,1,0
2005/6,Ruud van Nistelrooy,3,2
2005/6,James Beattie,3,2
2005/6,Duncan Ferguson,1,0
2005/6,Steven Gerrard,3,2
2005/6,Djibril Cissé,2,2
2005/6,Peter Crouch,1,0
2005/6,Gary Speed,2,2
2005/6,Jay-Jay Okocha,1,0
2005/6,Khalilou Fadiga,1,0
2005/6,Yakubu,3,3
2005/6,Jimmy Floyd Hasselbaink,1,1
2005/6,Massimo Maccarone,1,1
2005/6,Joey Barton,1,1
2005/6,Robbie Keane,4,3
2005/6,Mido,1,1
2005/6,Jermain Defoe,1,0
2005/6,Milan Baros,2,1
2005/6,Gareth Barry,2,0
2005/6,Darren Bent,3,3
2005/6,Danny Murphy,1,1
2005/6,Mikael Forssell,2,2
2005/6,Heidar Helguson,3,3
2005/6,Collins John,1,1
2005/6,Alan Shearer,4,4
2005/6,Shola Ameobi,1,1
2005/6,Paul Dickov,2,2
2005/6,Craig Bellamy,1,1
2005/6,Lucas Neill,1,1
2005/6,Matthew Taylor,2,2
2005/6,Nathan Ellington,1,1
2005/6,Diomansy Kamara,1,0
2005/6,Dean Whitehead,2,2
2005/6,Jason Roberts,1,1
2005/6,Marlon Harewood,3,2
2005/6,Teddy Sheringham,2,1
2006/7,Frank Lampard,4,3
2006/7,Gilberto Silva,6,5
2006/7,Thierry Henry,3,3
2006/7,Robin van Persie,1,1
2006/7,Emmanuel Adebayor,1,1
2006/7,Júlio Baptista,1,0
2006/7,Cristiano Ronaldo,4,3
2006/7,Louis Saha,2,2
2006/7,Mikel Arteta,5,5
2006/7,James Beattie,2,2
2006/7,Andy Johnson,1,1
2006/7,Robbie Fowler,3,3
2006/7,Steven Gerrard,2,1
2006/7,Harry Kewell,1,1
2006/7,Xabi Alonso,1,1
2006/7,Gary Speed,5,5
2006/7,El-Hadji Diouf,2,1
2006/7,Yakubu,5,4
2006/7,Joey Barton,2,1
2006/7,Georgios Samaras,1,1
2006/7,Darius Vassell,1,0
2006/7,Jermain Defoe,4,3
2006/7,Robbie Keane,3,3
2006/7,Gareth Barry,6,5
2006/7,Juan Pablo Ángel,2,1
2006/7,Darren Bent,3,3
2006/7,Jerome Thomas,1,1
2006/7,Vincenzo Montella,1,1
2006/7,Heidar Helguson,1,1
2006/7,Jimmy Bullard,1,1
2006/7,Nolberto Solano,2,2
2006/7,Shola Ameobi,1,1
2006/7,Obafemi Martins,1,1
2006/7,Benni McCarthy,5,4
2006/7,Shabani Nonda,2,1
2006/7,Jason Roberts,1,0
2006/7,Lucas Neill,1,0
2006/7,Lomana LuaLua,1,1
2006/7,Matthew Taylor,1,1
2006/7,Nwankwo Kanu,1,0
2006/7,David Unsworth,1,1
2006/7,Henri Camara,1,1
2006/7,Leighton Baines,1,1
2006/7,Svetoslav Todorov,1,0
2006/7,Denny Landzaat,1,0
2006/7,Carlos Tévez,1,1
2006/7,Marlon Harewood,1,0
2006/7,Kevin Doyle,3,3
2006/7,Phil Jagielka,2,2
2007/8,Cristiano Ronaldo,5,4
2007/8,Louis Saha,2,2
2007/8,Wayne Rooney,1,0
2007/8,Frank Lampard,4,4
2007/8,Michael Ballack,2,2
2007/8,Andriy Shevchenko,1,1
2007/8,Steven Gerrard,3,3
2007/8,Dirk Kuyt,2,2
2007/8,Emmanuel Adebayor,3,3
2007/8,Robin van Persie,3,2
2007/8,Robbie Keane,5,3
2007/8,Dimitar Berbatov,1,1
2007/8,Jermain Defoe,1,0
2007/8,Yakubu,1,1
2007/8,Nicolas Anelka,1,0
2007/8,Matthew Taylor,1,0
2007/8,Stephen Hunt,2,2
2007/8,Nicky Shorey,1,0
2007/8,Jermain Defoe,2,2
2007/8,Matthew Taylor,1,1
2007/8,Sulley Muntari,1,1
2007/8,Nwankwo Kanu,1,0
2007/8,Benjani,1,0
2007/8,Niko Kranjcar,1,0
2007/8,Benni McCarthy,6,5
2007/8,Matt Derbyshire,1,0
2007/8,Gareth Barry,6,5
2007/8,John Carew,1,1
2007/8,Stewart Downing,2,2
2007/8,Michael Owen,2,2
2007/8,Joey Barton,1,1
2007/8,Obafemi Martins,1,1
2007/8,Elano,2,2
2007/8,Mark Noble,2,2
2007/8,Danny Murphy,3,2
2007/8,Jason Koumas,1,1
2007/8,Denny Landzaat,1,1
2007/8,Antoine Sibierski,1,1
2007/8,Marlon King,1,1
2007/8,Ryan Taylor,1,0
2007/8,Steve Howard,1,0
2007/8,Michael Chopra,1,1
2007/8,Dean Whitehead,1,0
2007/8,Gary McSheffrey,3,3
2007/8,James McFadden,2,2
2007/8,Olivier Kapo,1,1
2008/9,Cristiano Ronaldo,4,4
2008/9,Frank Lampard,2,2
2008/9,Robin van Persie,2,2
2008/9,Emmanuel Adebayor,1,1
2008/9,Emmanuel Eboué,1,1
2008/9,Nicklas Bendtner,1,1
2008/9,Steven Gerrard,5,4
2008/9,Xabi Alonso,1,1
2008/9,Mikel Arteta,2,2
2008/9,Louis Saha,1,1
2008/9,Yakubu,1,0
2008/9,Gareth Barry,4,4
2008/9,Ashley Young,1,0
2008/9,Benni McCarthy,5,4
2008/9,El-Hadji Diouf,1,0
2008/9,Jason Roberts,1,0
2008/9,Jermain Defoe,3,2
2008/9,John Utaka,1,0
2008/9,Elano,4,4
2008/9,Robinho,2,1
2008/9,Daniel Sturridge,1,1
2008/9,Mark Noble,3,1
2008/9,Robbie Keane,2,2
2008/9,Darren Bent,1,1
2008/9,Michael Owen,1,1
2008/9,Shola Ameobi,1,1
2008/9,Joey Barton,1,1
2008/9,Danny Guthrie,1,1
2008/9,Obafemi Martins,1,0
2008/9,Stewart Downing,2,0
2008/9,Afonso Alves,1,1
2008/9,Amr Zaki,4,4
2008/9,Mido,1,1
2008/9,Djibril Cissé,1,1
2008/9,Kevin Nolan,1,0
2008/9,Danny Murphy,5,5
2008/9,Roman Bednar,3,2
2008/9,Chris Brunt,2,1
2008/9,Ricardo Fuller,3,2
2008/9,James Beattie,1,1
2008/9,Danny Higginbotham,1,1
2008/9,Liam Lawrence,1,1
2008/9,Marlon King,2,2
2008/9,Geovanni,1,1
2009/10,Wayne Rooney,5,4
2009/10,Ryan Giggs,2,2
2009/10,Michael Carrick,1,0
2009/10,Steven Gerrard,2,2
2009/10,Dirk Kuyt,1,1
2009/10,Frank Lampard,11,10
2009/10,Didier Drogba,1,1
2009/10,Louis Saha,4,2
2009/10,Mikel Arteta,2,2
2009/10,Leighton Baines,1,1
2009/10,Yakubu,1,0
2009/10,James Milner,4,3
2009/10,John Carew,2,1
2009/10,Ashley Young,1,1
2009/10,Danny Murphy,3,3
2009/10,Clint Dempsey,1,1
2009/10,Jermain Defoe,2,1
2009/10,Robbie Keane,1,1
2009/10,Alessandro Diamanti,5,4
2009/10,Carlton Cole,1,1
2009/10,Luis Jiménez,1,1
2009/10,Mark Noble,1,1
2009/10,Mido,1,0
2009/10,Carlos Tévez,5,5
2009/10,Hugo Rodallega,3,1
2009/10,James Beattie,1,1
2009/10,Matthew Etherington,1,1
2009/10,Matthew Taylor,3,3
2009/10,Kevin Davies,1,1
2009/10,Aruna Dindane,2,1
2009/10,Kevin-Prince Boateng,2,1
2009/10,Hassan Yebda,1,1
2009/10,Jamie O'Hara,1,0
2009/10,David Dunn,2,2
2009/10,Keith Andrews,1,1
2009/10,Darren Bent,8,5
2009/10,Kenwyne Jones,1,1
2009/10,Jimmy Bullard,5,4
2009/10,Craig Fagan,1,1
2009/10,Stephen Hunt,1,1
2009/10,Geovanni,1,0
2009/10,Sylvan Ebanks-Blake,1,1
2009/10,Kevin Doyle,1,1
2009/10,James McFadden,3,2
2009/10,Graham Alexander,6,6
2010/11,Ashley Young,5,4
2010/11,John Carew,1,0
2010/11,Charlie Adam,8,7
2010/11,Ben Watson,2,2
2010/11,Mauro Boselli,1,0
2010/11,Wayne Rooney,4,3
2010/11,Nani,1,0
2010/11,Peter Odemwingie,3,2
2010/11,Chris Brunt,3,2
2010/11,Clint Dempsey,2,1
2010/11,Bobby Zamora,1,1
2010/11,Shola Ameobi,2,2
2010/11,Joey Barton,2,2
2010/11,Kevin Nolan,1,1
2010/11,Frank Lampard,5,4
2010/11,Didier Drogba,3,2
2010/11,Kevin Doyle,2,2
2010/11,Steven Fletcher,1,1
2010/11,Matthew Etherington,2,2
2010/11,Jonathan Walters,1,1
2010/11,Robin van Persie,3,2
2010/11,Andrey Arshavin,1,1
2010/11,Samir Nasri,1,1
2010/11,Tomas Rosicky,1,0
2010/11,Mark Noble,4,4
2010/11,Frédéric Piquionne,1,1
2010/11,Kevin Davies,5,4
2010/11,Sebastian Larsson,1,1
2010/11,Craig Gardner,1,1
2010/11,Darren Bent,3,3
2010/11,Steed Malbranque,1,0
2010/11,Carlos Tévez,6,5
2010/11,Mario Balotelli,2,2
2010/11,Emmanuel Adebayor,1,1
2010/11,David Dunn,1,1
2010/11,Morten Gamst Pedersen,1,0
2010/11,Rafael van der Vaart,5,4
2010/11,Jermain Defoe,1,0
2010/11,Roman Pavlyuchenko,1,0
2010/11,Dirk Kuyt,5,5
2010/11,Steven Gerrard,2,1
2010/11,Leighton Baines,3,3
2010/11,Mikel Arteta,1,0
2011/12,Stephen Hunt,3,3
2011/12,Kevin Doyle,1,0
2011/12,Scott Sinclair,5,4
2011/12,Danny Graham,1,1
2011/12,Grant Holt,2,2
2011/12,Ben Watson,4,2
2011/12,Jordi Gómez,2,2
2011/12,Shaun Maloney,1,1
2011/12,Heidar Helguson,2,2
2011/12,Wayne Rooney,8,6
2011/12,Dimitar Berbatov,2,2
2011/12,Chicharito,1,1
2011/12,Shane Long,1,1
2011/12,Chris Brunt,1,0
2011/12,Danny Murphy,2,2
2011/12,Bobby Zamora,1,1
2011/12,Clint Dempsey,1,0
2011/12,Demba Ba,3,2
2011/12,Frank Lampard,4,3
2011/12,Didier Drogba,1,1
2011/12,Robin van Persie,3,2
2011/12,Jonathan Walters,6,4
2011/12,Darren Bent,2,2
2011/12,Barry Bannan,1,1
2011/12,Martin Petrov,4,4
2011/12,Ivan Klasnic,1,1
2011/12,Kevin Davies,1,0
2011/12,Nicklas Bendtner,1,1
2011/12,Sebastian Larsson,1,0
2011/12,Sergio Agüero,3,3
2011/12,Mario Balotelli,3,3
2011/12,James Milner,1,1
2011/12,Carlos Tévez,1,0
2011/12,Yakubu,5,4
2011/12,David Dunn,1,0
2011/12,Mauro Formica,1,0
2011/12,Junior Hoilett,1,0
2011/12,Emmanuel Adebayor,3,3
2011/12,Rafael van der Vaart,1,1
2011/12,Charlie Adam,2,1
2011/12,Dirk Kuyt,2,0
2011/12,Stewart Downing,1,0
2011/12,Luis Suárez,1,0
2011/12,Leighton Baines,3,3
2011/12,Mikel Arteta,1,1
2011/12,Nikica Jelavic,1,1
2012/13,Frank Lampard,6,5
2012/13,Eden Hazard,2,2
2012/13,Fernando Torres,1,1
2012/13,Oscar,1,1
2012/13,Lucas Piazón,1,0
2012/13,Robin van Persie,4,3
2012/13,Wayne Rooney,2,1
2012/13,Chicharito,1,0
2012/13,Romelu Lukaku,3,2
2012/13,Peter Odemwingie,1,1
2012/13,James Morrison,1,1
2012/13,Graham Dorrans,1,1
2012/13,Shane Long,1,0
2012/13,Dimitar Berbatov,4,4
2012/13,Mladen Petric,1,1
2012/13,Steve Sidwell,1,1
2012/13,Hatem Ben Arfa,2,2
2012/13,Yohan Cabaye,1,1
2012/13,Demba Ba,1,1
2012/13,Mikel Arteta,6,5
2012/13,Christian Benteke,3,3
2012/13,Mark Noble,3,3
2012/13,Andy Carroll,1,1
2012/13,Craig Gardner,4,4
2012/13,Carlos Tévez,2,2
2012/13,Sergio Agüero,2,2
2012/13,Edin Dzeko,1,0
2012/13,David Silva,1,0
2012/13,Rickie Lambert,3,3
2012/13,Steven Gerrard,5,4
2012/13,Daniel Sturridge,1,1
2012/13,Leighton Baines,2,2
2012/13,Grant Holt,2,1
2012/13,Jonathan Walters,5,3
2012/13,Shaun Maloney,1,1
2012/13,Djibril Cissé,1,0
2012/13,Adel Taarabt,1,0
2012/13,Adam Le Fondre,3,3
2012/13,Hal Robson-Kanu,1,1
2021/22,Alexandre Lacazette,3,2
2021/22,Bukayo Saka,2,2
2021/22,Pierre-Emerick Aubameyang,2,0
2021/22,Gabriel Martinelli,1,1
2021/22,Danny Ings,1,1
2021/22,Anwar El Ghazi,1,1
2021/22,Ollie Watkins,1,1
2021/22,Ivan Toney,5,5
2021/22,Bryan Mbeumo,1,1
2021/22,Alexis Mac Allister,3,2
2021/22,Neal Maupay,2,1
2021/22,Leandro Trossard,1,1
2021/22,Ashley Barnes,1,1
2021/22,Maxwel Cornet,1,0
2021/22,Jorginho,7,6
2021/22,Romelu Lukaku,1,1
2021/22,Mason Mount,1,1
2021/22,Wilfried Zaha,7,5
2021/22,Odsonne Édouard,1,1
2021/22,Richarlison,3,3
2021/22,Dominic Calvert-Lewin,3,2
2021/22,Andros Townsend,1,1
2021/22,Raphinha,4,4
2021/22,Rodrigo,1,1
2021/22,Youri Tielemans,2,2
2021/22,Mohamed Salah,6,5
2021/22,Fabinho,2,2
2021/22,Riyad Mahrez,5,4
2021/22,Raheem Sterling,3,2
2021/22,Gabriel Jesus,1,1
2021/22,Cristiano Ronaldo,3,3
2021/22,Bruno Fernandes,2,0
2021/22,Callum Wilson,2,2
2021/22,Chris Wood,1,1
2021/22,Teemu Pukki,3,3
2021/22,James Ward-Prowse,4,4
2021/22,Harry Kane,4,4
2021/22,Dele Alli,1,1
2021/22,Joshua King,1,1
2021/22,Manuel Lanzini,3,3
2021/22,Mark Noble,2,1
2021/22,Michail Antonio,1,0
2021/22,Raúl Jiménez,1,1
2022/23,Bukayo Saka,3,2
2022/23,Gabriel Jesus,1,1
2022/23,Danny Ings,2,2
2022/23,Ollie Watkins,2,1
2022/23,Ivan Toney,7,6
2022/23,Bryan Mbeumo,1,1
2022/23,Alexis Mac Allister,6,6
2022/23,Jorginho,2,2
2022/23,Kai Havertz,1,1
2022/23,Wilfried Zaha,2,0
2022/23,Eberechi Eze,1,1
2022/23,Demarai Gray,2,2
2022/23,Dominic Calvert-Lewin,1,1
2022/23,Andreas Pereira,1,1
2022/23,Patrick Bamford,2,0
2022/23,Rodrigo,1,1
2022/23,Youri Tielemans,2,1
2022/23,James Maddison,2,1
2022/23,Kelechi Iheanacho,1,1
2022/23,Jamie Vardy,1,0
2022/23,Mohamed Salah,4,2
2022/23,Erling Haaland,7,7
2022/23,Riyad Mahrez,1,1
2022/23,Julián Alvarez,1,1
2022/23,Bruno Fernandes,2,2
2022/23,Anthony Martial,1,1
2022/23,Callum Wilson,3,3
2022/23,Alexander Isak,2,2
2022/23,Chris Wood,1,1
2022/23,Brennan Johnson,3,1
2022/23,Morgan Gibbs-White,2,2
2022/23,André Ayew,1,0
2022/23,James Ward-Prowse,4,2
2022/23,Harry Kane,6,5
2022/23,Jarrod Bowen,2,1
2022/23,Lucas Paquetá,1,1
2022/23,Declan Rice,1,0
2022/23,Rúben Neves,3,3
2023/24,Bukayo Saka,6,6
2023/24,Kai Havertz,1,1
2023/24,Fábio Vieira,1,1
2023/24,Douglas Luiz,4,4
2023/24,Dominic Solanke,3,2
2023/24,Bryan Mbeumo,3,3
2023/24,Jay Rodríguez,1,1
2023/24,Jacob Bruun Larsen,1,1
2023/24,Zeki Amdouni,1,1
2023/24,Cole Palmer,9,9
2023/24,Enzo Fernández,2,1
2023/24,Noni Madueke,1,1
2023/24,Jean-Philippe Mateta,2,2
2023/24,Eberechi Eze,1,1
2023/24,Michael Olise,1,1
2023/24,Dominic Calvert-Lewin,2,2
2023/24,Beto,1,0
2023/24,Willian,2,2
2023/24,Mohamed Salah,7,5
2023/24,Alexis Mac Allister,1,1
2023/24,Darwin Núñez,1,0
2023/24,Carlton Morris,5,5
2023/24,Erling Haaland,8,7
2023/24,Julián Alvarez,2,2
2023/24,Bruno Fernandes,5,4
2023/24,Marcus Rashford,2,2
2023/24,Alexander Isak,6,5
2023/24,Callum Wilson,2,2
2023/24,Anthony Gordon,1,1
2023/24,Morgan Gibbs-White,1,1
2023/24,Oli McBurnie,2,2
2023/24,Oliver Norwood,1,1
2023/24,Ben Brereton Díaz,1,1
2023/24,James McAtee,1,1
2023/24,Heung-min Son,2,2
2023/24,James Ward-Prowse,2,2
2023/24,Lucas Paquetá,2,2
2023/24,Pablo Sarabia,2,2
2023/24,Hee-chan Hwang,1,1
2023/24,Matheus Cunha,1,1
2024/25,Bukayo Saka,1,1
2024/25,Ollie Watkins,2,2
2024/25,Marco Asensio,2,0
2024/25,Marcus Rashford,1,1
2024/25,Youri Tielemans,1,0
2024/25,Justin Kluivert,6,6
2024/25,Evanilson,1,0
2024/25,Bryan Mbeumo,6,5
2024/25,Danny Welbeck,1,1
2024/25,Matt O'Riley,1,1
2024/25,Cole Palmer,5,4
2024/25,Jean-Philippe Mateta,2,2
2024/25,Eberechi Eze,2,1
2024/25,Iliman Ndiaye,2,2
2024/25,Raúl Jiménez,3,3
2024/25,Andreas Pereira,1,0
2024/25,Liam Delap,2,2
2024/25,Jamie Vardy,2,1
2024/25,Jordan Ayew,1,1
2024/25,Mohamed Salah,9,9
2024/25,Erling Haaland,4,3
2024/25,Bruno Fernandes,3,3
2024/25,Christian Eriksen,1,1
2024/25,Alexander Isak,4,4
2024/25,Anthony Gordon,2,1
2024/25,Chris Wood,3,3
2024/25,Adam Armstrong,1,0
2024/25,Cameron Archer,1,0
2024/25,Heung-min Son,2,1
2024/25,Dominic Solanke,1,1
2024/25,Mathys Tel,1,1
2024/25,Lucas Paquetá,2,2
2024/25,Jarrod Bowen,1,1
2025/26,Bukayo Saka,1,1
2025/26,Marcus Tavernier,2,2
2025/26,Junior Kroupi,2,2
2025/26,Antoine Semenyo,2,1
2025/26,Igor Thiago,9,8
2025/26,Kevin Schade,1,0
2025/26,Danny Welbeck,3,1
